Local Word,English Meaning
arakpo,mumps
ararẹ̀,yourself
araríro  ̣̀,fatigue
araro  ̣̀,tired
arawa,ourselves
are órí,ringworm
áré,dash
áre  ̣̀n,go
áre  ̣̀n,leave
arẹran,flesh
árígbó,old age
ariwo,noise
ariwo,sound
árọ́,story
arogungun,skeleton
arọmákò,disabled
arosho,pure
arubọ,turtle
arulé,wall
aseni,sure
asẹsẹ,weaver bird
àshásọ,napkin
àshásọ,rag
áshíwín,lunatic
ashomi,limestone
asọ ábe  ̣́,undergarment
asọ ábe  ̣́,underwear
asọ ẹrẹfùnà,curtain
asọ oyin,bee wax
àtálo  ̣̀he  ̣̀,sole of foot
àtálo  ̣́wó,palm of hand
àte  ̣̀te  ̣̀,wicker
àtì,rheum
atiro  ̣́,funnel
àto  ̣̀,semen
atukpọkpọ,woodpecker
awa,us
awa,we
àwan ẹnẹ,those
àwan,they
àwáríara,farewell
awò,cauldron
awò,pan
awó,slap
áwó/ enífá,shaman
awòyìnbó,doctor
àwúlà éwé,paper
àwúlà ífúrú,petal
àwúlà ijin,wooden plank
àwúlà,piece
awùntántán,mint leaf
aya títo  ̣́n,bride
aya,wife
ayàgbe,unmoveable
áyakà,countless
ayaka,uncountable
áyé,life
áyé,world
ayere,gap
áyérí,old days
àyo  ̣̀,joy
ayo  ̣́lo  ̣́zà,queen
ázá,dog
àze  ̣́n,witch
ba ba mì lílá,great grandfather
bá bá,grandfather
ba,father
ba,plait
ba,weave
bábà,as usual
bábà,etc
bàbà,grope
báfo  ̣̀,address
báfo  ̣̀,rebuke
bágwí,reproach
bágwí,scold
bálárá,agitate
bálárá,irritate
bárawọ ùkpò,copulate
batiri,fate
bɑ̣̀ze  ̣́,botch
bɑ̣̀ze  ̣́,destroy
bɑ̣̀ze  ̣́,pollute
bɑ̣̀ze  ̣́,spoil
be  ̣̀,beg
be  ̣̀,plead
be  ̣́,chop
be  ̣́,hew
béghózẹ́,misappropriate
bẹ̀  gwà,horrible
bẹ̀  gwà,nasty
bí,as
bí,like
bí,ask
bí,born
bì,vomit
bíbe  ̣̀,appeal
bibío  ̣́màhán,afterbirth
bíbù eré,joke
bibu,fade
bíbú,insult
bídà,as if
bò,conceal
bò,cover
bó,peel
bó,scrape
bo  ̣́,escape
bo  ̣́,rear
bo  ̣́,tame
bórúkọze  ̣́,defame
bótífo  ̣̀,according to
bótíkálále  ̣̀wa,conservative
bótírí,usual
bótísé,accustomed
bóyá,possible
bóyá,perhaps
bù,cut
bù,twinkle
búkú,bad
búkú,negative
búkú,terrible
bùmá,exaggerate
bùwálẹ̀,decrease
cháchá,gamble
chín,salute
chinch,bedbug
dà,pour
dàdà,bundle
dadan,compel
dágho  ̣́,angry
dágho  ̣́,vex
dàkòró,disappear
dánghò,test
dánghò,try
dàno  ̣̀,spill
dè,guard
dé,shut
dé/ dín,close
dẹdẹruru,beetle
de  ̣́gbòre  ̣́,restrict
dékpa,seal
dẹ́  n,fry
de  ̣̀n,recede
de  ̣̀nwá,return
dẹ́  zẹ̀,bleed
dídà,vanish
dídàgho  ̣́nẹ,hate
dídè,guide
didẹzẹ,coagulate
dídó,set
dídóníòkèlílá,alpine
didunwa,salvation
dìn,bind
dìn,knot
dìn,tight
dìn,wrap
dín,block
dín,knot
dínẹtín,deaf
dìnmá,tether
díró,stand
díró,wait
díróhí/ fígbè,obstruct
dó,live
dó,marry
dómílé,drench
dóníno  ̣́,occupy
dózú,note
dùdú,lie
dúdún,black
dùdúnálẹ̀,prostrate
dùn ara,self-defence
dùn sódùá,rescue
dùn,cure
dùn,save
dúnzìn,gasp
dúró,stop
dúwà,pass
ebi ómí/ o  ̣̀fọn gbígbẹ,thirst
ébí,hunger
ébíkpa,hungry
èbù,wasp
ebuburẹn,rust
edò,stake
èdúndún,charcoal
efifie,waist thread
éfífó,empty
égbe  ̣́dẹ́,half dried
éghán,cheap
èghìgho  ̣̀ ómí,vapour
èghìgho  ̣̀,smoke
ègwà,beautiful
ehí,without
ehihi,wart
ehòjin,fruit
éìwó,light
éjíkpá,amulet
éjíkpá,talisman
ékíkán o  ̣́wo  ̣́,fingernail
ekó,camp
ekpo,oil
ekpokpo  ̣̀ràn,coconut's oil
ekpùkpà,bark
ekpùkpà,rind
ekpùkpà,skin
ekpùkpẹrún,lip
ekpukpu,fence
eku,mole rat
eku,mouse
ékúdé,half boil
èkúkù,bullet
èmí,power
èmi,me
èmùre  ̣́n,lizard
éne  ̣́bá,fatherless
éne  ̣́rù,fearless
eníno  ̣́,kind
eníno  ̣́,mercy
énórí,meaningless
énulé,homeless
éré,poem
ere,python
érébíbù,poetry
eregugu,rainbow
erìghán ọkùnrẹn,brother
erile  ̣̀,country people
erin,elephant
érínhíhe  ̣̀n,antiphon
èrínkéké,cackle
erìre  ̣̀,gain
eriri ọyẹ,mist
èrìrì,dew
eró,corruption
eró,trick
erùkpàfọn,clod of earth
erùkpe  ̣̀,sand
erúrú,ash
éshin,pig
etin ómí,riverbank
etin uri,hood of serpent
étín,ear
étín,earlobe
étín,fringe
ewe,book
ewe,notebook
éwéjin,leaf
éwétárán,letter
éyà,wrong
èyẹ́  nẹ,who
èyí,this
èyíèyí,alternate
éyín zízà,tooth ache
éyín,tooth
ézìnle  ̣́gwá,twelve
ézìnzìn,stable
e bíbì,vomit
e  ̣́bo  ̣́,deity
ẹbọ,idol
e  ̣́bú,bunch
ẹbu,herd
ẹbubẹ,dust
e  ̣́búbù,half
e  ̣̀búbù,part
ẹde  ̣̀,tuber
ẹdò akpáta,shrub
e  ̣̀do  ̣̀,chest
e  ̣̀do  ̣̀,body part
e  ̣̀dógbè,neighbour
e  ̣̀dógún,fifteen
e  ̣̀dòkè lílá,mountain
e  ̣̀dòkè,hill
e  ̣̀do  ̣̀n,axe
ẹ́  do  ̣́n,monkey
e  ̣̀do  ̣̀wíwó,sorrow
e  ̣̀do  ̣̀yíyàn,glad
e  ̣̀do  ̣̀yíyàn,excite
ẹ́  dúwe  ̣́,chicken
ẹ́  dúwe  ̣́,fowl
ẹfàn,buffalo
ẹ́  fífó,sweat
ẹfun,chalk
e  ̣̀fúrù lílá,wind
e  ̣̀fúrù,air
e  ̣̀gàn,fish trap of conical shape
ẹgbe  ̣́ méèzìn,centre
ẹgbe  ̣́ méèzìn,between
e  ̣́gbe  ̣́,unfortunate
e  ̣̀gbìgbàn,deer
e  ̣́gbígbe  ̣́n,flea
e  ̣́gbígbe  ̣́n,tick
e  ̣̀gbùre  ̣́,joint
ẹ́  ghẹ́  n ẹ́  dúwe  ̣́,chicken egg
e  ̣́ghe  ̣́n étín,ear drum
e  ̣́ghe  ̣́n úná,embers
e  ̣́ghe  ̣́n,egg
ẹ́  ghó àyáká,cowrie
e  ̣́ghó,cash
e  ̣́ghó,money
e  ̣́ghó,salary
ẹ́  gho  ̣́,spot
ẹghonzú,eye ball
ẹ́  ghórí,bride price
ẹ́  ghórí,tax
e  ̣̀gígán,basket
ẹ́  gún,thorn
e  ̣̀gúsí,melon
e  ̣̀hánlégwá,nineteen
ẹ́  ká,branch
ẹkẹrilẹ,dwarf
e  ̣̀kíkan,ant
e  ̣̀kíkan,claw
e  ̣̀kíkan,nail
e  ̣̀ko  ̣̀ko  ̣̀,condition
e  ̣̀ko  ̣̀ko  ̣̀,frame
ẹko  ̣̀ko  ̣̀,corner
e  ̣̀kòkògèdè,nook and cranny
ẹkpàn,scrotum
e  ̣̀kpòkó,bucket
e  ̣́kù,door
e  ̣́kún,tear
ẹla,cattle
e  ̣̀lá,dream
ẹlikan,wrinkle
ẹlù,nest
e  ̣́mo  ̣́ ìkpà/ kpíkpa,intoxicate
ẹmọ,beer
ẹmọ,liquor
ẹmọ,wine
ẹmo  ̣̀kpe  ̣̀,palm wine
ẹmure  ̣́n,garden lizard
ẹnàdídùn,miser
ẹnagho  ̣́,enemy
ẹnálèkpàn,eunuch
ẹnáwó,sorcerer
ẹnáyàn sódùà,candidate
ẹnẹ táfo  ̣̀,whom
e  ̣́ne  ̣̀,not
ẹnẹ,somebody
ẹne  ̣̀,that
ẹnẹbíríbìrì,vagrant
ẹne  ̣́mo  ̣́,drunkard
ẹne  ̣́ránúse  ̣́,messenger
ẹnẹte  ̣́dó,lover
ẹnẹwíwe  ̣́n,lender
ẹni,fragile
e  ̣́ní,mat
ẹníbá,weaver
ẹníbàbe  ̣̀,beggar
ẹníbárun,crook
ẹníbífòkè,astrologer
ẹníbùéré,poet
ẹníbùiré,joker
ẹníde,watchman
ẹnífe  ̣́unze  ̣́,cook
ẹnífo  ̣̀,speaker
ẹnígbà,collector
ẹníghẹ́  zọ́,judge
ẹníghózú,caretaker
ẹnígún,goldsmith
ẹnígwo  ̣́jin,carpenter
ẹníhè,distiller
ẹníhùn,sleeper
ẹníkílòlò,stammerer
ẹníkọrin,singer
ẹníkpe  ̣́zá,fisherman
ẹnílo  ̣̀,grinder
ẹnímoko,farmer
ẹnímózúhí,guardian
ẹníninọ,sentimental
ẹníno  ̣́zà,trader
ẹnírẹ,frolicsome
ẹníre  ̣́tín,listener
ẹníríghózú,foreteller
ẹníró,deceitful
ẹníró,trickster
ẹnísagho  ̣̀he  ̣̀,cobbler
ẹnísasọ,tailor
ẹníse,performer
ẹnísíré,player
ẹnísọ́  ghò,inspector
ẹnísọ́  ghò,investigator
ẹnísọ́  ghò,examiner
ẹnísózúmézìn,hypocrite
ẹnítà,retailer
ẹnítọzà,shop keeper
ẹníwẹnghó,creditor
ẹníwo  ̣́nwo  ̣́,benefactor
ẹníyàkpò,pick pocket
ẹníyànko  ̣̀,driver
ẹníyirọn,barber
ẹníze  ̣́,eater
ẹnódó,dweller
ẹnogbàze  ̣̀,faithful
ẹnógbózún,adult
ẹnogun,warrior
ẹnóhíyane  ̣́,tenant
ẹnòhúe  ̣́,hunter
ẹnokẹzin/ ẹnara,companion
ẹnoko/ẹnígbérun,cultivator
ẹnoko/ẹnígbérun,gardener
ẹnókpane  ̣́,murderer
ẹnọlẹ,timid
ẹnómáméwé,illiterate
ẹnóme  ̣́zo  ̣́wá,petitioner
ẹnómúwá,establisher
ẹnóne  ̣́,owner
ẹnónule  ̣́,host
ẹnónule  ̣́,landlord
ẹnórí òtú,group leader
ẹnórí,boss
ẹnórí,lord
ẹnorírírè,anybody
ẹnówún,donor
ẹnọzà,customer
ẹno  ̣́ze  ̣́,artist
ẹnùhùo  ̣̀,liar
ẹnùkò,representative
ẹnùre  ̣̀n,traveller
ẹnúse  ̣́,employee
ẹnúse  ̣́,labourer
ẹnúse  ̣́,worker
ẹnúzó,musician
ẹran,animal
ẹrẹfùnà lílá,gate
ẹrẹmi,dislike
e  ̣̀rín orun,midnight
e  ̣́rìn,laugh
ẹru,caste
e  ̣̀rù,fear
ẹrun,language
ẹrun,mouth
ẹrunlé,goat
e  ̣̀rúrú ọma,placenta
ẹse  ̣́,fist
ẹshin ugbó,boar
ẹsi,horse
ẹsikpẹn,cane
ẹsikpẹn,whip
ẹsinsin agbudẹ,gadfly
ẹsinsin,fly
e  ̣̀sísá,broom
ẹta,leopard
e  ̣̀talégwá,thirteen
ẹtú,cap
ẹtú,hat
e  ̣́wà,bean
ẹwẹ ọka,husk
ẹwẹ̀  n híhán,payment
ẹwe  ̣̀n,credit
ẹwe  ̣̀n,debt
ẹwe  ̣̀n,fee
ẹwe  ̣̀n,wage
ẹwóró,passage
e  ̣̀wù,shirt
ẹwuwu,crocodile
ẹyẹ,bird
ẹye  ̣́,feather
ẹyin ẹrin,tusk
e  ̣̀yìn ọfọ,hoax
e  ̣̀yìn o  ̣́he  ̣̀,heel
e  ̣̀yìn ọro  ̣̀n,nape of the neck
e  ̣̀yìn ulẹ́,backyard
e  ̣̀yìn,back
e  ̣́zá,fish
e  ̣̀ze  ̣̀,blood
e  ̣́ze  ̣̀ta,day before yesterday
ẹzò,snake
e  ̣́zo  ̣́,dispute
ẹzọ,eight
e  ̣́zo  ̣́mú,guilty
ẹzori ẹza,gills
fà,crawl
fà,pull
fà,tuck
fá,flay
fáwá,allure
fe  ̣́,application
fe  ̣̀,belch
fe  ̣́,find
fe  ̣́,need
fe  ̣́,want
fe  ̣́fífó,fan
fe  ̣́fúrù,blow
fe  ̣́n,clean
fe  ̣́ne  ̣̀do  ̣̀,desire
fe  ̣́unze  ̣́,cook
fífà,drag
fífe  ̣́gwá,design
fífe  ̣́zo  ̣́,kindle
fífo  ̣́n,abuse
fífù,germinate
fífùe  ̣̀,inflate
figbe,barricade
figbuọ,wretch
fíháká,whirl
fò,fly
fo  ̣̀,pronounce
fo  ̣̀,say
fo  ̣̀,speak
fo  ̣̀,wash
foaya,worry
fọfo  ̣̀,foment
fo  ̣̀he  ̣̀,limp
fo  ̣́n ẹrun,swear
fo  ̣́n,squeeze
fo  ̣̀sé,promise
fo  ̣̀wá,propose
fo  ̣̀wá,utter
fo  ̣́zú,blind
fù,sprout
fùè,swell
fúfún,white
fún ara,pale
fún,untie
gèdè,all
gó,high
gùmátále  ̣̀,bow
gùmátúale  ̣̀,crouch
gùn,climb
gún,poke
gún,pound
gún,prick
gún,stab
gbá,long
gbá,tall
gbá,sweep
gbàá,fat
gbàbáà,assurance
gbàgbé,forget
gbamú,seize
gbámúne  ̣́,cling
gbámúne  ̣́,grasp
gbán,flow
gbárakpàkè,proud
gbáralé,against
gbàwá,collect
gbàwá,receive
gbàze  ̣̀,agree
gbázéhú,allow
gbàze  ̣́wún,concession
gbé ẹrùn,load
gbẹ,dried
gbẹ,dry
gbé,carry
gbé,lift
gbe  ̣̀,sow
gbè/ gwà,cultivate
gbe  ̣̀do  ̣́lé,dependent
gbe  ̣̀do  ̣́lé,hope
gbe  ̣̀do  ̣́lé,support
gbéhọnme  ̣̀,forgiveness
gbékpàkè,raise
gbe  ̣́n e  ̣́fífó,perspire
gbe  ̣̀ne  ̣̀,scribble
gbe  ̣́run,fast
gbe  ̣́run,hunger strike
gbe  ̣̀yìn,last
gbígbà,size
gbígbàze  ̣̀,faith
gbígbàze  ̣̀,religion
gbígbàze  ̣̀,approve
gbígbé,bear
gbígbe  ̣̀,plant
gbígbe  ̣̀do  ̣̀lé,expectation
gbigbeghọ,barter
gbígbin,blunt
gbígbin,groan
gbígbò,polish
gbígbò,wipe
gbígbo  ̣́nmí,current of water
gbigbọshọ,roar
gbin,grunt
gbin,pant
gbó,old
gbó,bark
gbò,rub
gbo  ̣́,hear
gbo  ̣́fo  ̣̀lé,accuse
gbo  ̣́fo  ̣̀lé,slander
gbóná,hot
gbóná,warm
gbóná,heat
gbózún,grow
gbúse  ̣́,forced labour
ghá,tremble
ghán,expensive
ghán,good
ghàn,show
gháyé,alive
ghigha,decision
ghighan,sample
ghíghọn orun,snore
ghinghọnmi,imitate
ghíwè,presence
ghò,look
ghò,see
ghò,stare
gho  ̣́,bend
gho  ̣́há,understand
gho  ̣́n,mow
ghórí ale  ̣̀,contemptuous
ghórí ale  ̣̀,disregard
ghówá,acknowledge
ghọwẹ meezin,balance
ghózú,care
ghózú,nurse
gwa,row
gwákpò,blend
gwákpò,churn
gwákpò,mix
gwákpò,stir
gwálè,till
gwàlọ,search
gwáwẹ́  òkéèzìn,cross
gwé,drizzle
gwe  ̣̀,bath
gwe  ̣́le  ̣́,follow
gwélérunáfo  ̣̀,obey
gwèsè,start
gwe  ̣́zo  ̣́,trial
gwe  ̣́zo  ̣́,quarrel
gwigun,thrust
gwigwire,incantation
gwigwọ,grapple
gwigwodo,wanton
gwígwo  ̣́rúnze  ̣́,digest
gwìrehún,bless
gwóhán,broken
gwo  ̣̀ro  ̣̀,descend
gwúó,shatter
há,run
hàhà,sprinkle
háká,surround
hákòró,abscond
hákòró,elope
hákòró,flee
hán,pay
hán,tie
hàndó,lean
hàndó,slope
hàndó,tilt
házùn,better
he  ̣́,lock
hè,distil
he  ̣̀n,worship
hi,so
híhe,boil
híhe  ̣́,deny
híhèn,adore
híhe  ̣́ngwózú,appeal
híhe  ̣́nkún,weep
hího  ̣́,hit
hihofi,rape
hihọnwún,information
hín,distant
hínhenkpò,accident
ho  ̣́ ẹse  ̣́,blow
họ ẹsé,wallop
ho  ̣́ éwé,vote
hó,fart
họ́,boast
họ́,peck
hò,hail
hò,praise
họ,jab
họ,throw
ho  ̣́hále  ̣̀,dump
ho  ̣́hòkè,suspend
ho  ̣́kpàkè,flatter
ho  ̣́kpàkè,tease
ho  ̣́n e  ̣́kún,bemoan
hón,cry
ho  ̣́n,roast
ho  ̣́nkúne  ̣̀do  ̣̀,regret
họwún,inform
họwún,instruct
hùe  ̣̀re  ̣̀hùe  ̣̀re  ̣̀,soft
hún e  ̣́fun,anoint
huọmáne,frame
ibà,malaria
ìbàlẹ̀,valley
íbàlo  ̣̀,spicy
ibí,gun powder
ibìbà,gnat
ibibọ,some
ìbo ara,blanket
íbúse,misconduct
íchè,bellow
idamidan,whimp
ìdánghò,examination
ídéghòba,otherwise
idehú,kite
ífà,stringy
ifamisan,chicken pox
ifan,scabbies
ífe  ̣́nfe  ̣́n,mosquito
ifóró,light
ìfun ẹran,offal
ìfun,intestine
ifúrú,flower
igan,chain
igbàje  ̣́,battery
ígbáze  ̣́,agreement
igbó,marijuana
igbo  ̣̀ngháre  ̣́ngháre  ̣́n,brass
igbóro  ̣́n,shin
igha,decide
ighara,umbrella
ighè,rib
ighẹzu,illusion
íghóghèsísá,broom stick
ighọnghọn,grumble
íghóre  ̣̀do  ̣̀,heart
ighorẹgho,coin
íghórẹkpàn,testicles
íghóró,grain particles
íghóró,kernel
íghóró,nut
íghóró,seed
ighorukpẹtẹ,candy
ighorukpẹtẹ,sugar
ighú,white hair
íhánmézín,fortnight
ihe  ̣́n,now
ihú,law
ijin ẹdọn,hammer
ijin ẹdọn,mallet
íjín égún,cactus
ijin e  ̣̀kù,door frame
ijin o  ̣̀kpe  ̣̀,palm tree
ijin ọrọn,collar bone
ijin orúrú,cotton plant
ijin úná,firewood
ijin,stick
ijin,tree
ijin,wood
ijinfùrù,stalk
ike  ̣̀ke  ̣́,arrow
íkó,meeting
íkokò,collection
ikòló,earthworm
ikpe  ̣̀te  ̣̀,mud
ikpe  ̣̀tómí,silt
ìkpò,hook
ikù,bran
ikù,chaff
ikù,husk
ikùrun,petty
ilá,tattoo
ilà,crack
ile  ̣̀,human
ilẹ̀,country
ilẹ̀,people
ímábá,kinsmen
ímábá,kith and kin
ìme  ̣̀mózú,eye lashes
ìmerìghán,siblings
imí,soul
imí,strength
ímo  ̣́,nose
ímo  ̣́,snout
íná,lice
íníno  ̣́,inner
íno  ̣́ gwígwo  ̣́,diarrhoea
íno  ̣́,inside
íno  ̣́,abdomen
íno  ̣́,belly
íno  ̣́,stomach
íno  ̣́kpọ,waist chain
íno  ̣́ríró,sad
ípìtì,fumble
írále  ̣́,dusk
írálé,co wife
ire,game
ire,play
iré,prayer
irégúgún,fairy
irégúgún,ghost. ire runo kan 11
irẹrunọkan,tribe
irìn,vein
irọn ábúbú,curly hair
íro   ̣́n dàda,knotty hair
irọn,hair
irọnara,wearisome
iròrò,imagination
iròrò,thought
írú,kind
irùnmù,grass
irùnmù,weed
ísáfe  ̣̀n,key
isanmisan,child
isanmisan,illegitimate
isé,nail
ìsẹ̀  sẹ,mushroom
ishara,ear of corn
ísòghò,gargle
ísùyà,miserable
ìtá mèrẹn,cross roads
ita,pepper
ìtákpè,root
ìtákpijin,log
ìtále  ̣̀,carpet
ìtalọfo  ̣̀,conflict
itàlọfò,unrest
íto  ̣́,saliva
íto  ̣́,spit
ìto  ̣̀,urine
iwagban akikọ,wattle
iwagbàn,beard
iwe,here
iwe  ̣̀,hither
iwe  ̣̀,there
iwẹn óbí ọma,parent
iwẹn ómàbí ọma,childless couple
ìwe  ̣̀n yí,these
ìwènèwéné,glitter
iwẹnóbíwá,ancestors
íwín,excrement
íwín,shit
iworiwo ẹzò,slough
ìwòwò e  ̣́zá,fish scale
iwù,whisker
ìyàdó,dwelling site
iyàn zizẹ,argument
iyàn,argue
íyárá,eager
iyáre  ̣̀nmá,restriction
iyẹbu ihùnhí,dormitory
iyéghótíwá,revenue
ìye  ̣́kéwéhí,library
ìye  ̣́kó e  ̣́láhí,cowshed
íyènhọ,pulp
iyerukpẹ,mound
iye  ̣́tísíré,playground
ìye  ̣́tìto  ̣̀,urinal
izẹzẹme  ̣́,bud
izẹzẹme  ̣́,shoot
ízo  ̣́,day
izokotokpo,shrimp
jíjẹ,quick
jíjè,compare
kà,mark
kà,count
kà,read
kà,write
ká,move
ká,pluck
kàára,engrave
kàhále  ̣̀,record
kákò,fold
kákò,shrivel
kálále  ̣̀wa,indigenous
kálẹ́,from
kálíhe  ̣́nkòró,henceforth
kàn,sour
kànán,nevertheless
kànán,yet
kànán,but
kànán,except
kára,ready
kára,prepare
kátòrè,which
ke  ̣̀,rot
ké,scream
kéké,less
kéké,little
kéké,small
kéké,young
kékékéké,slow
kéré,minor
ke  ̣̀rẹn,fourth
kíkókpò,addition
kílòlò,stammer
kíyore,where
ko  ̣́ aya,divorce
kó,how
ko  ̣́,build
ko  ̣́,hang
ko  ̣́,learn
ko  ̣́,practice
ko  ̣́,teach
ko  ̣́,train
kọ,crow
ko  ̣̀,decline
ko  ̣̀,refuse
ko  ̣̀,reject
ko  ̣́hále  ̣̀,note
kóhùnrè,what
kókó,impotent
kòkò,together
kòkò,flock
kòkò,arrange
kòkò,culminate
kòkò,gather
kókòró,clear out
kókpò,add
kókpò,assemble
kókpò,unite
kómí,drown
ko  ̣́n,full
kóríkpò,discuss
kóríkpò,plan
kọrin,sing
kórodo,round
korókpàké,rise
kọrun,drowsy
kótú,manage
kóyàn,why
ku,die
ku,dead
kúìwù,bore
kúkòre,when
kpa,kill
kpa,slaughter
kpaigbàjé,batter
kpán,ripe
kpanẹ̀,murder
kpángolo,tin
kparane  ̣́,suicide
kpátákpátá,at all
kpè,beckon
kpè,call
kpe  ̣́kpe  ̣́yẹ,duck
kpelekpele lílá,tadpole
kpèlèkpelè,mosquito larvae
kpe  ̣́n háká,distribution
kpe  ̣́n,create
kpe  ̣́n,divide
kpe  ̣́n,share
kpèwá,summon
kpíkpán ekpo,yellow
kpíkpè,invitation
kpíkpe  ̣́n háká,distribute
kpíkpò,dirty
kpila,bet
kpítìrì,numb
kpò,stain
kpò,soil
kpòkú,homicide
kpòròkp̣̀orò,ant
kpòròkp̣̀orò,big red
kpúdẹ́  n,stout
kpúkpán,red
kpúrú,short
kwapó,extremely
kwo  ̣̀ro  ̣̀,collapse
kwo  ̣̀ro  ̣̀,faint
là,castrate
lá,lick
láíláí,never
lála,bulky
lála,huge
lára,operation
lé,transplant
lẹkẹlẹkẹ,crane
lékòró,expel
le  ̣̀má,attack
lílá,big
lílálá,weight
líle  ̣̀do  ̣̀,pulse
lílo  ̣̀,powder
lo  ̣́,crooked
lo  ̣̀,grind
lo  ̣̀,iron
lo  ̣́háká,wriggle
lọkọma,coil
lọkọma,entangle
lọkọma,entwine
lo  ̣́wọ́,clap
lo  ̣́wọ́,knock
lo  ̣́zú,squint
lù,beat
lù,ring
má ìfúrú,bloom
mà,know
mà,recognise
mádìase,prohibit
mádìse,prevent
mágbàzẹ̀,objection
mágbàze  ̣́n wún,disagree
mágbàze  ̣́n wún,disapprove
mághòzú,careless
máìsé,abate
máìsé,abolish
mákò,incomplete
mako,deficiency
mákù,immortal
mámà,ignorant
mámo  ̣̀fo  ̣̀,disobedient
mámózúhí,negligence
mánáno  ̣́,shameless
manawa,shortage
mánàyè,inconvenience
máne  ̣̀ súrù,impatient
máne  ̣̀ wíwo  ̣́nwo  ̣́,helpless
mànẹ́,want
mánìmí,lazy
mánómí ehò,juiceless
mánúse  ̣́,idle
márìròrò,impudent
máshinmi,restless
mátètèwá,late
mayarẹn,lame
me  ̣̀do  ̣̀,encourage
méèzín,both
me  ̣́fà,six
me  ̣́gwá,ten
me  ̣́gwáléo  ̣́gbọ́,thirty
me  ̣̀gwáléòrẹn,ninety
me  ̣́gwáléọta,seventy
me  ̣́gwàléozìn,fifty
me  ̣̀hán,nine
me   ̣́rẹn,four
me  ̣́rẹnlémègwá,fourteen
me  ̣́rú,five
me  ̣́ta,three
me  ̣́ze,seven
mézìn,two
me  ̣́zóléme  ̣̀gwá,eighteen
mímà,proof
mímí,breath
mímókò,cultivation
mímózúhí,treatment
mọ,drink
mógbò,smear
mọ́  wo  ̣́bàbà,pat
mo  ̣́wo  ̣́bàbàara,caress
mo  ̣́wo  ̣́hì,confirm
mózúhí,engross
mózúhí,foster
mózúhúsẹ́,oversee
mú,sharp
mú,catch
mú,take
mú,withdraw
mù,sink
múhí,put
múhínọ́,immerse
múhíwe  ̣̀,keep
múhìyo  ̣̀kàn,confine
múhómí ówún,pickle
mújè,compare with
múkàn,touch
múkòró,remove
múkòró,subtract
múkpàkè,prop
múlálá,blaze
múmá,also
